timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,IdleTime,Connect
1674360771710,412,/get_method,200,OK,Jmeter_HW_1 1-1,text,true,,169,148,51,51,http://162.55.220.72:5005/get_method?name=Artem&age=27,,412,ISO-8859-1,1,0,0,206
1674360771720,410,/get_method,200,OK,Jmeter_HW_1 1-2,text,true,,169,148,52,52,http://162.55.220.72:5005/get_method?name=Artem&age=27,,410,ISO-8859-1,1,0,0,204
1674360771738,412,/get_method,200,OK,Jmeter_HW_1 1-4,text,true,,169,148,55,55,http://162.55.220.72:5005/get_method?name=Artem&age=27,,412,ISO-8859-1,1,0,0,205
1674360771748,411,/get_method,200,OK,Jmeter_HW_1 1-5,text,true,,169,148,56,56,http://162.55.220.72:5005/get_method?name=Artem&age=27,,411,ISO-8859-1,1,0,0,204
1674360771764,413,/get_method,200,OK,Jmeter_HW_1 1-7,text,true,,169,148,58,58,http://162.55.220.72:5005/get_method?name=Artem&age=27,,413,ISO-8859-1,1,0,0,204
1674360771780,405,/get_method,200,OK,Jmeter_HW_1 1-9,text,true,,169,148,59,59,http://162.55.220.72:5005/get_method?name=Artem&age=27,,405,ISO-8859-1,1,0,0,202
1674360771788,406,/get_method,200,OK,Jmeter_HW_1 1-10,text,true,,169,148,60,60,http://162.55.220.72:5005/get_method?name=Artem&age=27,,406,ISO-8859-1,1,0,0,202
1674360771795,408,/get_method,200,OK,Jmeter_HW_1 1-11,text,true,,169,148,61,61,http://162.55.220.72:5005/get_method?name=Artem&age=27,,408,ISO-8859-1,1,0,0,204
1674360771803,409,/get_method,200,OK,Jmeter_HW_1 1-12,text,true,,169,148,63,63,http://162.55.220.72:5005/get_method?name=Artem&age=27,,409,ISO-8859-1,1,0,0,203
1674360771811,406,/get_method,200,OK,Jmeter_HW_1 1-13,text,true,,169,148,63,63,http://162.55.220.72:5005/get_method?name=Artem&age=27,,405,ISO-8859-1,1,0,0,203
1674360771823,413,/get_method,200,OK,Jmeter_HW_1 1-15,text,true,,169,148,66,66,http://162.55.220.72:5005/get_method?name=Artem&age=27,,413,ISO-8859-1,1,0,0,205
1674360771843,413,/get_method,200,OK,Jmeter_HW_1 1-17,text,true,,169,148,68,68,http://162.55.220.72:5005/get_method?name=Artem&age=27,,413,ISO-8859-1,1,0,0,205
1674360771847,409,/get_method,200,OK,Jmeter_HW_1 1-18,text,true,,169,148,68,68,http://162.55.220.72:5005/get_method?name=Artem&age=27,,409,ISO-8859-1,1,0,0,203
